hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
41253;MUNKASZÉK (DB);BU0605;Egyéb szék;244213;Térdeplő szék;BU0605;Egyéb szék
144810;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254233;éjjeli szekrény;BS9903;Éjjeli szekrény
144831;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254328;éjjeliszekrény;BS9903;Éjjeli szekrény
144790;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254121;éjjeli szekrény bükk;BS9903;Éjjeli szekrény
147830;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254230;étkező asztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
147831;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254240;étkezőasztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
147840;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254324;4 személyes étkezőasztal bükk;BA0201;Étkező asztal 4. személyes
147817;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254080;étkező asztal 4 személyes;BA0201;Étkező asztal 4. személyes
147818;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254090;étkezőasztal 4 személyes;BA0201;Étkező asztal 4. személyes
147843;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253734;asztal;BA0201;Étkező asztal 4. személyes
147844;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253742;4 szem. asztal;BA0201;Étkező asztal 4. személyes
147845;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253752;4 szem asztal;BA0201;Étkező asztal 4. személyes
147846;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253833;4 személyes asztal;BA0201;Étkező asztal 4. személyes
147787;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147777;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253606;étkező asztal;BA0201;Étkező asztal 4. személyes
147793;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253812;4 szem. étkezőasztal;BA0201;Étkező asztal 4. személyes
147799;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253883;étkezőasztal 4 szem.;BA0201;Étkező asztal 4. személyes
147789;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253772;4 szem étkezőasztal;BA0201;Étkező asztal 4. személyes
147790;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253782;4 szem. étkező asztal;BA0201;Étkező asztal 4. személyes
147805;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253953;étkezőasztal 4 szem;BA0201;Étkező asztal 4. személyes
147794;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147797;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253863;étkezőasztal 4 szem,;BA0201;Étkező asztal 4. személyes
147800;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253893;4 személyes étkezőasztal;BA0201;Étkező asztal 4. személyes
246655;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL (DB);BU0601;Favázas támlásszék;244360;Favázas támlásszékszövet kárpittal;BU0601;Favázas támlásszék
144190;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253682;fémvázas szék;BU0601;Favázas támlásszék
144277;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;254144;fémvázas támlásszék;BU0603;Fémvázas támlásszék
144172;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253601;fémvázas szék;BU0603;Fémvázas támlásszék
144239;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253935;fémvázas szekrény;BU0603;Fémvázas támlásszék
144240;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253944;fémvázas támlás szék;BU0603;Fémvázas támlásszék
144267;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;254084;fémvázasszék;BU0603;Fémvázas támlásszék
143708;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;254147;egyszemélyes heverő;BE0109;Heverő
143677;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;253988;heverő;BE0109;Heverő
134333;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;246633;Irodai forgószék;BU0501;Irodai forgószék
150995;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék;244477;Forgatható karosszék;BU0501;Irodai forgószék
197835;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény;246215;ADJ-H32 L3/K2 rejtett löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
35182;Álló ruhafogas;BE0201;Álló ruhafogas klf.;46356;Álló ruhafogas;BE0201;Álló ruhafogas klf.
33483;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök;46349;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök
40026;Fotel;BU0101;Fotel klf.;46369;FOTEL;BU0101;Fotel klf.
41443;Görgős irattároló asztal melletti;BS0601;Alacsony fém görgős irattároló;46353;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34587;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46346;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;45353;Görgős irattároló;BS0603;Görgős irattároló
34603;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;45756;Görgős iratszekrény;BS0604;Görgős irattároló asztal melletti
35216;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon;46311;IP telefon;KT0300;IP telefon
35187;Telefon IP 7811 (sima);KT0300;IP telefon;46255;IP Telefon (ORFK);KT0300;IP telefon
35178;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34847;Telefon IP 7811 (sima);KT0300;IP telefon;46238;IP Telefon (sima);KT0300;IP telefon
35146;Telefon IP 7811 (sima);KT0300;IP telefon;45362;IP telefon;KT0300;IP telefon
34863;Telefon IP 7811 (sima);KT0300;IP telefon;45579;CISCO telefon;KT0300;IP telefon
34855;Telefon IP 7811 (sima);KT0300;IP telefon;45369;IP telefon, asztali;KT0300;IP telefon
35071;Telefon IP 7811 (sima);KT0300;IP telefon;45730;IP telefon SPA502G;KT0300;IP telefon
35076;Telefon IP 7811 (sima);KT0300;IP telefon;45735;CISCO asztali telefon IP;KT0300;IP telefon
35082;Telefon IP 7811 (sima);KT0300;IP telefon;45755;ASZTALI IP TELEFON CISCO;KT0300;IP telefon
34885;Telefon IP 7811 (sima);KT0300;IP telefon;45716;CISCO asztali telefon;KT0300;IP telefon
34889;Telefon IP 7811 (sima);KT0300;IP telefon;45721;ASCO asztali telefon;KT0300;IP telefon
34901;Telefon IP 7811 (sima);KT0300;IP telefon;45723;IP telefon CP-7811;KT0300;IP telefon
46237;Telefon IP 7811 (sima);KT0300;IP telefon;45582;CISCO;KT0300;IP telefon
34881;Telefon IP 7811 (sima);KT0300;IP telefon;45615;CISCO 7811 Telefon IP;KT0300;IP telefon
34898;Telefon IP 7811 (sima);KT0300;IP telefon;45722;ASCO asztali  telefon;KT0300;IP telefon
34888;Telefon IP 7811 (sima);KT0300;IP telefon;45719;Telefon IP 7811;KT0300;IP telefon
34886;Telefon IP 7811 (sima);KT0300;IP telefon;45717;CISCO asztali  telefon;KT0300;IP telefon
34967;Telefon IP 7811 (sima);KT0300;IP telefon;45734;CISCO sztali telefon IP;KT0300;IP telefon
34973;Telefon IP 7811 (sima);KT0300;IP telefon;45753;ASZTALI IP  TELEFON CISCO;KT0300;IP telefon
34980;Telefon IP 7811 (sima);KT0300;IP telefon;46083;Cisco IP Telefon 7811;KT0300;IP telefon
35022;Telefon IP 7811 (sima);KT0300;IP telefon;46316;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon
35080;Telefon IP 7811 (sima);KT0300;IP telefon;45743;CISCO asztali  telefon IP;KT0300;IP telefon
35131;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
33092;ÍRÓASZTAL;BA0302;Kisméretű íróasztal;46361;ÍRÓASZTAL;BA0307;Íróasztal klf. egyéb
33576;Irodai forgószék;BU0501;Irodai forgószék;45354;irodai forgószék;BU0501;Irodai forgószék
33579;Irodai forgószék;BU0501;Irodai forgószék;45751;FORGATHATÓ KAROSSZÉK;BU0501;Irodai forgószék
33153;ÍRÓASZTAL;BA0302;Kisméretű íróasztal;46355;ÍRÓASZTAL;BA0901;Írógépasztal különféle
479;EMELETESÁGY;BE0104;Emeletes ágy;926;EMELETES ÁGY;BE0104;Emeletes ágy
715;Emeletes ágy;BE0113;Egyéb fekvőbútorok;925;EMELETES ÁGY;BE0104;Emeletes ágy
646;Vízforraló  SENCOR;EH0501;Vízforraló;905;VÍZFORRALÓ SENCOR;SN0699;Multifunkciós nyomtató egyéb
794;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;957;AN-UP 2016 L4/K2 külső löv.álló mell. L;EF0402;Külső viselésű lövedékálló mellény
795;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;958;AN-UP 2016 L4/K2 külső löv.álló mell. XL;EF0402;Külső viselésű lövedékálló mellény
803;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;978;AN-UP 2016 L4/K2 külső löv.álló mell.M;EF0402;Külső viselésű lövedékálló mellény
806;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;981;AN-UP 2016 L4/K2 külső löv.álló mell.XL;EF0402;Külső viselésű lövedékálló mellény
807;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;982;AN-UP 2016 L4/K2 külső löv.álló mell.L;EF0402;Külső viselésű lövedékálló mellény
855;DEF-H42-K L4/K2 külsőt lövedékálló mellé;EF0402;Külső viselésű lövedékálló mellény;971;DEF-H42-K L4/K2 Külső Löv.mell 3XL;EF0402;Külső viselésű lövedékálló mellény
797;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;962;AN-UP 2016 L4/K2 külső löv.álló mell. M;EF0402;Külső viselésű lövedékálló mellény
800;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;966;AN-UP 2016 L4/K2 külső löv.álló mell.3XL;EF0402;Külső viselésű lövedékálló mellény
801;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;968;AN-UP 2016 L4/K2 külső löv.álló mell. S;EF0402;Külső viselésű lövedékálló mellény
802;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;977;AN-UP 2016 L4/K2 külső löv.álló mell.XXL;EF0402;Külső viselésű lövedékálló mellény
1083;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék;1105;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék
972;DELONGHI KÁVÉFŐZŐ;EH0103;Kávéfőző;1099;Délonghi kávéfőző;EH0103;Kávéfőző
923;Favázas támlásszék;BU0601;Favázas támlásszék;1106;Favázas támlásszék szövetkárpitta;BU0601;Favázas támlásszék
925;Favázas támlásszék;BU0601;Favázas támlásszék;1097;Favázas támlásszék;BU0601;Favázas támlásszék
926;Favázas támlásszék szövet kárpittal;BU0601;Favázas támlásszék;1109;Favázas támlásszék szövetkárpittal;BU0601;Favázas támlásszék
852;SAMSUNG TELEVÍZIÓ;KV0100;CRT TV (hagyományos televízió);1104;Samsung LCD televiyi=;KV0200;LCD televízió TV
704;Íróasztal;BA0305;Nagyméretű íróasztal;1094;Nagyméretű íróasztal;BA0305;Nagyméretű íróasztal
566;2 AJTÓS IRATSZEKRÉNY cseresznye;BS0202;2. ajtós szekrény;1098;2 ajtós szekrény;BS0202;2. ajtós szekrény
496;Mikró hullámú sütő;EH0301;Beépíthető mikrohullámú sütő;1100;SHARP mikró;EH0303;Mikrohullámú sütő klf. egyéb
273;Öltöző pad;BU0902;Öltöző pad;1084;öltözőpad;BU0902;Öltöző pad
292;ÖLTÖZOPAD;BU0902;Öltöző pad;1086;öltözőpad;BU0902;Öltöző pad
296;Öltözöpad;BU0902;Öltöző pad;1088;öltözőpad;BU0902;Öltöző pad
300;Öltözöpad;BU0902;Öltöző pad;1089;öltözőpad 1 oldalas;BU0902;Öltöző pad
238;FAVÁZAS TÁMLÁSSZÉK KLF. (DB);BU0601;Favázas támlásszék;1108;Favázas támlásszék szövetkárpitta;BU0601;Favázas támlásszék
132;FEGYVERTÁMLA (DB);BS9905;Fegyverszekrény;1112;FEGYVERTÁMLA (DB);EF0103;Fegyver állványok
73945;B_C_irodai FOTEL;BU0101;Fotel klf.;82718;Irodai forgószék;BU0501;Irodai forgószék
29644;EMELETESÁGY (DB);BE0104;Emeletes ágy;82756;Emeletes ágy;BE0104;Emeletes ágy
29640;EMELETESÁGY (DB);BE0104;Emeletes ágy;83814;Emeleteságy;BE0104;Emeletes ágy
80200;Forgatható karosszék;BU0501;Irodai forgószék;82679;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
80196;Vezetői forgószék;BU0701;Vezetői forgószék;82785;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
28865;asztal sandta femvazas;BA9911;Telefon-rádió asztal;83626;Lerakó asztal cseresznye;BA9913;Egyéb asztal klf.
28853;ÉTKEZŐASZTAL (DB);BA0204;Étkező asztal klf. egyéb;83720;Konyhaasztal csersznye;BA0802;Konyhaasztal klf.
25401;VIRÁGÁLLVÁNY RÉZ (DB);BE0316;Virágtartó;83757;Virágtartó;BE0316;Virágtartó
25372;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal;83553;ÍRÓASZTAL KISMÉRETŰ (DB);BA0302;Kisméretű íróasztal
28424;ÍRÓASZTAL (DB);BA0307;Íróasztal klf. egyéb;83579;Íróasztal mahagóni;BA0307;Íróasztal klf. egyéb
51949;GÖRGŐS IRATSZEKRÉNY beige (DB);BS0603;Görgős irattároló;82943;Görgős irattároló bézs;BS0603;Görgős irattároló
28172;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló;82821;görgős számítógép asztal bükk;BA0600;Számítógépasztal
79206;Favázas támlásszék Bükk;BU0601;Favázas támlásszék;82661;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
60571;VEZETŐI FORGÓSZÉK (DB);BU0701;Vezetői forgószék;83558;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
85954;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;82674;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
85949; ÖLTÖZŐSZEKRÉNY 2 AJTÓS BÜKK;BS0801;Öltöző szekrény fa;83624;Két ajtós öltöző szekrény bükk;BS9920;Szekrény egyéb klf.
85946;Mosogatószekrény;BS9920;Szekrény egyéb klf.;83719;2. ajtós alsó szekrény egyéb;BS0302;2. ajtós alacsony szekrény
85944;Favázas támlásszék kárpitos;BU0601;Favázas támlásszék;82650;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
85943;2 AJTÓS AKASZTÓS SZEKRÉNY BÜKK (DB);BS0203;2 ajtós akasztós szekrény;82737;2 ajtós akasztós szekrény bükk;BS0203;2 ajtós akasztós szekrény
85942;2 AJTÓS AKASZTÓS SZEKRÉNY BÜKK (DB);BS0203;2 ajtós akasztós szekrény;82793;2. ajtós alsó szekrény bükk;BS0202;2. ajtós szekrény
85941;1 AJTÓS AKASZTÓS SZEKRÉNY MAHAGÓNI;BS0103;1 ajtós akasztós szekrény;83724;1 AJTÓS AKASZTÓS SZEKRÉNY MAHAGÓNI (DB);BS0103;1 ajtós akasztós szekrény
85940;francia ágy;BE0108;Francia ágy;82709;FRANCIAÁGY;BE0108;Francia ágy
85939;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;82722;Forgószék irodai (R81-081457);BU0501;Irodai forgószék
85938;NAGYMÉRETŰ ÍRÓASZTAL (DB);BA0305;Nagyméretű íróasztal;83620;Fémlábas íróasztal szürke;BA0307;Íróasztal klf. egyéb
79079;LÉTRA (DB) 3x7 fokos;ES0503;Létra egyéb;82944;Aluminium létra;ES0502;Létra aluminium, fém
85931;Virágtartó;BE0316;Virágtartó;83760;Virágtartó;BE0316;Virágtartó
85929;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal;83580;Íróasztal mahagóni;BA0307;Íróasztal klf. egyéb
85927;ÉTKEZŐASZTAL (DB);BA0204;Étkező asztal klf. egyéb;82819;konyha asztal tömör fa;BA0802;Konyhaasztal klf.
85925;ALUL ZÁRT FELÜL NYITOTT SZEKRÉNY TALIZMÁ;BS0202;2. ajtós szekrény;83549;ALACSONY NYITOTT IRATSZEKRÉNY BEIGE (DB);BS9915;Nyitott polcos szekrény alacsony
85924;ÁLLÓ RUHAFOGAS (DB);BE0201;Álló ruhafogas klf.;82869;ÁLLÓ RUHAFOGAS (DB) (R81-080244);BE0201;Álló ruhafogas klf.
85922;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék;82823;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
85921;GÖRGŐS IRATSZEKRÉNY MAHAGÓNI (DB);BS0603;Görgős irattároló;83582;Görgös irattároló mahagóni;BS0603;Görgős irattároló
85918;TELEFONASZTAL (DB);BA9911;Telefon-rádió asztal;83791;Lerakó asztal;BA0403;Lerakó asztal
85916;FRANCIAÁGY 2 ágybetéttel;BE0108;Francia ágy;82711;FRANCIAÁGY;BE0108;Francia ágy
88974;FAVÁZAS TÁMLÁSSZÉK KLF. (DB) cseresznye;BU0601;Favázas támlásszék;82651;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
88973;FAVÁZAS TÁMLÁSSZÉK KLF. (DB) bükk;BU0601;Favázas támlásszék;82647;Favázas támlásszék;BU0601;Favázas támlásszék
88972;virágtartó mahagóni;BE0316;Virágtartó;83552;VIRÁGÁLLVÁNY (DB);BE0316;Virágtartó
88969;180 fokos ív mahagóni;BA0401;Íves elem klf.;83550;Tárgyalóasztal félköríves;BA0702;Íves tárgyalóasztal
88967;Nagyméretű íróasztal;BA0305;Nagyméretű íróasztal;83758;Íróasztal dió;BA0307;Íróasztal klf. egyéb
88960;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal;83547;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB)(R14-05;BA0302;Kisméretű íróasztal
88958;favázas támlásszék szövet kárpit;BU0601;Favázas támlásszék;82664;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
88957;favázas támlásszék műanyag kárpit;BU0601;Favázas támlásszék;82662;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
17;Madison Flanders fotel/KAROS;BU0101;Fotel klf.;1369;Fotelágy szürke;BE0107;Fotelágy
40;HEVERO /SANDRA/;BE0109;Heverő;1461;Heverő;BE0109;Heverő
41;FORG.KAROSSZEK;BU0501;Irodai forgószék;873;Irodai forgószék bordó kárpittal;BU0501;Irodai forgószék
43;FAVAZAS KANAPE;BU0202;Kanapé;1459;Agria kanapé;BU0202;Kanapé
820;4 AJTÓS 4 ZÁRAS VASLEMEZ IRATSZEKRÉNY (D;BS0904; 4. ajtós vaslemez iratszekrény;1000;4 AJTÓS vaslemez szekrény (R81-005053);BS0904; 4. ajtós vaslemez iratszekrény
754;Fémvázas támlásszék műanyag;BU0603;Fémvázas támlásszék;1585;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
856;Fémvázas támlásszék;BU0603;Fémvázas támlásszék;1587;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
859;Számítógépasztal Bükk;BA0600;Számítógépasztal;1277;Íróasztal bükk;BA0307;Íróasztal klf. egyéb
841;KEMPING ÁGY (DB);BE0113;Egyéb fekvőbútorok;971;Camping ágy;BE0103;Camping ágy
827;Fémvázas támlásszék klf.;BU0603;Fémvázas támlásszék;871;Fémvázas támlászék szürke kárpittal;BU0603;Fémvázas támlásszék
828;FÉMVÁZAS TÁMLÁSSZÉK KLF. (DB);BU0603;Fémvázas támlásszék;1372;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
816;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék;1627;Irodai forgószék;BU0501;Irodai forgószék
811;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék;1605;Irodai forgószék;BU0501;Irodai forgószék
775;Emeletes ágy/1;BE0113;Egyéb fekvőbútorok;1755;EMELETESÁGY (DB);BE0104;Emeletes ágy
723;EMELETESÁGY (DB);BE0104;Emeletes ágy;1743;EMELETESÁGY (DB);BE0104;Emeletes ágy
711;Forgatható karosszék szövet;BU0501;Irodai forgószék;932;Irodai forgószék bordó szövettel;BU0501;Irodai forgószék
632;EMELETESÁGY;BE0104;Emeletes ágy;1742;EMELETESÁGY (DB);BE0104;Emeletes ágy
622;2 ajtós iratszekrény szürke;BS0202;2. ajtós szekrény;1855;2 ajtós öltözőszekrény bükk;BS0801;Öltöző szekrény fa
589;FORGATHATÓ KAROSSZÉK BŐR KÁRPITTAL (DB);BU0701;Vezetői forgószék;1209;Vezetői forgószék bőr;BU0701;Vezetői forgószék
590;2 AJTÓS FELSŐSZEKRÉNY MAHAGÓNI (DB);BS0502;2. ajtós felső szekrény;1327;2 ajtós felsőszekrény mahagóni;BS0502;2. ajtós felső szekrény
592;Linea Mega Tech3 forgószék;BU0501;Irodai forgószék;1615;Irodai forgószék;BU0501;Irodai forgószék
593;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT;BU0501;Irodai forgószék;881;Irodai forgószék fekete szövettel;BU0501;Irodai forgószék
567;karfás forgószék szürke kárpittal;BU0501;Irodai forgószék;1617;Irodai forgószék;BU0501;Irodai forgószék
508;FORGATHATÓ KAROSSZÉK KLF.;BU0501;Irodai forgószék;1104;Forgatható karosszék;BU0501;Irodai forgószék
510;Vaságy;BE0102;Árkay vaságy;1628;Katonai vaságy;BE0102;Árkay vaságy
512;2 AJTÓS IRATSZEKRÉNY MAHAGÓNI (DB);BS0202;2. ajtós szekrény;1015;Polcos szekrény mahagóni (Tanúvédelmis);BS9920;Szekrény egyéb klf.
499;FÉMVÁZAS KAROSSZÉK KLF. (DB);BU0604;Fémvázas karosszék;987;Fémvázas támlásszék zöld kárpittal;BU0603;Fémvázas támlásszék
330;FA ÖLTÖZŐSZEKRÉNY 2 AJTÓS (DB);BS0801;Öltöző szekrény fa;1136;2 ajtós öltöző szekrény;BS0801;Öltöző szekrény fa
287;emeletes ágy;BE0104;Emeletes ágy;1764;EMELETESÁGY (DB);BE0104;Emeletes ágy
265;ÍRÓASZTAL (DB);BA0307;Íróasztal klf. egyéb;1339;Írósztal;BA0307;Íróasztal klf. egyéb
251;FÉMVÁZAS TÁMLÁSSZÉK KLF. (DB);BU0603;Fémvázas támlásszék;925;Fémvázas támlásszék fekete szövettel;BU0603;Fémvázas támlásszék
149;3 szem. tantermi asztal;BA9903;3 szem. tantermi asztal;1515;3 személyes tantermi asztal;BA9914;Tantermi asztal 2-6 személyes
121;FOTEL FAVÁZAS (DB);BU0202;Kanapé;1449;Fotel;BU0101;Fotel klf.
97;1 AJTÓS AKASZTÓS SZEKRÉNY MAHAGÓNI (DB);BS0103;1 ajtós akasztós szekrény;1323;1 ajtós akasztós szekrény mahagóni;BS0103;1 ajtós akasztós szekrény
