tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
244213;Térdeplő szék;BU0605;Egyéb szék
254233;éjjeli szekrény;BS9903;Éjjeli szekrény
254328;éjjeliszekrény;BS9903;Éjjeli szekrény
254121;éjjeli szekrény bükk;BS9903;Éjjeli szekrény
254230;étkező asztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
254240;étkezőasztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
254324;4 személyes étkezőasztal bükk;BA0201;Étkező asztal 4. személyes
254080;étkező asztal 4 személyes;BA0201;Étkező asztal 4. személyes
254090;étkezőasztal 4 személyes;BA0201;Étkező asztal 4. személyes
253734;asztal;BA0201;Étkező asztal 4. személyes
253742;4 szem. asztal;BA0201;Étkező asztal 4. személyes
253752;4 szem asztal;BA0201;Étkező asztal 4. személyes
253833;4 személyes asztal;BA0201;Étkező asztal 4. személyes
253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
253606;étkező asztal;BA0201;Étkező asztal 4. személyes
253812;4 szem. étkezőasztal;BA0201;Étkező asztal 4. személyes
253883;étkezőasztal 4 szem.;BA0201;Étkező asztal 4. személyes
253772;4 szem étkezőasztal;BA0201;Étkező asztal 4. személyes
253782;4 szem. étkező asztal;BA0201;Étkező asztal 4. személyes
253953;étkezőasztal 4 szem;BA0201;Étkező asztal 4. személyes
253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
253863;étkezőasztal 4 szem,;BA0201;Étkező asztal 4. személyes
253893;4 személyes étkezőasztal;BA0201;Étkező asztal 4. személyes
244360;Favázas támlásszékszövet kárpittal;BU0601;Favázas támlásszék
253682;fémvázas szék;BU0601;Favázas támlásszék
254144;fémvázas támlásszék;BU0603;Fémvázas támlásszék
253601;fémvázas szék;BU0603;Fémvázas támlásszék
253935;fémvázas szekrény;BU0603;Fémvázas támlásszék
253944;fémvázas támlás szék;BU0603;Fémvázas támlásszék
254084;fémvázasszék;BU0603;Fémvázas támlásszék
254147;egyszemélyes heverő;BE0109;Heverő
253988;heverő;BE0109;Heverő
246633;Irodai forgószék;BU0501;Irodai forgószék
244477;Forgatható karosszék;BU0501;Irodai forgószék
246215;ADJ-H32 L3/K2 rejtett löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
46356;Álló ruhafogas;BE0201;Álló ruhafogas klf.
46349;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök
46369;FOTEL;BU0101;Fotel klf.
46353;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
45353;Görgős irattároló;BS0603;Görgős irattároló
45756;Görgős iratszekrény;BS0604;Görgős irattároló asztal melletti
46311;IP telefon;KT0300;IP telefon
46255;IP Telefon (ORFK);KT0300;IP telefon
45329;Telefon IP 7811 (sima);KT0300;IP telefon
46238;IP Telefon (sima);KT0300;IP telefon
45362;IP telefon;KT0300;IP telefon
45579;CISCO telefon;KT0300;IP telefon
45369;IP telefon, asztali;KT0300;IP telefon
45730;IP telefon SPA502G;KT0300;IP telefon
45735;CISCO asztali telefon IP;KT0300;IP telefon
45755;ASZTALI IP TELEFON CISCO;KT0300;IP telefon
45716;CISCO asztali telefon;KT0300;IP telefon
45721;ASCO asztali telefon;KT0300;IP telefon
45723;IP telefon CP-7811;KT0300;IP telefon
45582;CISCO;KT0300;IP telefon
45615;CISCO 7811 Telefon IP;KT0300;IP telefon
45722;ASCO asztali  telefon;KT0300;IP telefon
45719;Telefon IP 7811;KT0300;IP telefon
45717;CISCO asztali  telefon;KT0300;IP telefon
45734;CISCO sztali telefon IP;KT0300;IP telefon
45753;ASZTALI IP  TELEFON CISCO;KT0300;IP telefon
46083;Cisco IP Telefon 7811;KT0300;IP telefon
46316;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon
45743;CISCO asztali  telefon IP;KT0300;IP telefon
45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
46361;ÍRÓASZTAL;BA0307;Íróasztal klf. egyéb
45354;irodai forgószék;BU0501;Irodai forgószék
45751;FORGATHATÓ KAROSSZÉK;BU0501;Irodai forgószék
46355;ÍRÓASZTAL;BA0901;Írógépasztal különféle
926;EMELETES ÁGY;BE0104;Emeletes ágy
925;EMELETES ÁGY;BE0104;Emeletes ágy
905;VÍZFORRALÓ SENCOR;SN0699;Multifunkciós nyomtató egyéb
957;AN-UP 2016 L4/K2 külső löv.álló mell. L;EF0402;Külső viselésű lövedékálló mellény
958;AN-UP 2016 L4/K2 külső löv.álló mell. XL;EF0402;Külső viselésű lövedékálló mellény
978;AN-UP 2016 L4/K2 külső löv.álló mell.M;EF0402;Külső viselésű lövedékálló mellény
981;AN-UP 2016 L4/K2 külső löv.álló mell.XL;EF0402;Külső viselésű lövedékálló mellény
982;AN-UP 2016 L4/K2 külső löv.álló mell.L;EF0402;Külső viselésű lövedékálló mellény
971;DEF-H42-K L4/K2 Külső Löv.mell 3XL;EF0402;Külső viselésű lövedékálló mellény
962;AN-UP 2016 L4/K2 külső löv.álló mell. M;EF0402;Külső viselésű lövedékálló mellény
966;AN-UP 2016 L4/K2 külső löv.álló mell.3XL;EF0402;Külső viselésű lövedékálló mellény
968;AN-UP 2016 L4/K2 külső löv.álló mell. S;EF0402;Külső viselésű lövedékálló mellény
977;AN-UP 2016 L4/K2 külső löv.álló mell.XXL;EF0402;Külső viselésű lövedékálló mellény
1105;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék
1099;Délonghi kávéfőző;EH0103;Kávéfőző
1106;Favázas támlásszék szövetkárpitta;BU0601;Favázas támlásszék
1097;Favázas támlásszék;BU0601;Favázas támlásszék
1109;Favázas támlásszék szövetkárpittal;BU0601;Favázas támlásszék
1104;Samsung LCD televiyi=;KV0200;LCD televízió TV
1094;Nagyméretű íróasztal;BA0305;Nagyméretű íróasztal
1098;2 ajtós szekrény;BS0202;2. ajtós szekrény
1100;SHARP mikró;EH0303;Mikrohullámú sütő klf. egyéb
1084;öltözőpad;BU0902;Öltöző pad
1086;öltözőpad;BU0902;Öltöző pad
1088;öltözőpad;BU0902;Öltöző pad
1089;öltözőpad 1 oldalas;BU0902;Öltöző pad
1108;Favázas támlásszék szövetkárpitta;BU0601;Favázas támlásszék
1112;FEGYVERTÁMLA (DB);EF0103;Fegyver állványok
82718;Irodai forgószék;BU0501;Irodai forgószék
82756;Emeletes ágy;BE0104;Emeletes ágy
83814;Emeleteságy;BE0104;Emeletes ágy
82679;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
82785;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
83626;Lerakó asztal cseresznye;BA9913;Egyéb asztal klf.
83720;Konyhaasztal csersznye;BA0802;Konyhaasztal klf.
83757;Virágtartó;BE0316;Virágtartó
83553;ÍRÓASZTAL KISMÉRETŰ (DB);BA0302;Kisméretű íróasztal
83579;Íróasztal mahagóni;BA0307;Íróasztal klf. egyéb
82943;Görgős irattároló bézs;BS0603;Görgős irattároló
82821;görgős számítógép asztal bükk;BA0600;Számítógépasztal
82661;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
83558;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
82674;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
83624;Két ajtós öltöző szekrény bükk;BS9920;Szekrény egyéb klf.
83719;2. ajtós alsó szekrény egyéb;BS0302;2. ajtós alacsony szekrény
82650;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
82737;2 ajtós akasztós szekrény bükk;BS0203;2 ajtós akasztós szekrény
82793;2. ajtós alsó szekrény bükk;BS0202;2. ajtós szekrény
83724;1 AJTÓS AKASZTÓS SZEKRÉNY MAHAGÓNI (DB);BS0103;1 ajtós akasztós szekrény
82709;FRANCIAÁGY;BE0108;Francia ágy
82722;Forgószék irodai (R81-081457);BU0501;Irodai forgószék
83620;Fémlábas íróasztal szürke;BA0307;Íróasztal klf. egyéb
82944;Aluminium létra;ES0502;Létra aluminium, fém
83760;Virágtartó;BE0316;Virágtartó
83580;Íróasztal mahagóni;BA0307;Íróasztal klf. egyéb
82819;konyha asztal tömör fa;BA0802;Konyhaasztal klf.
83549;ALACSONY NYITOTT IRATSZEKRÉNY BEIGE (DB);BS9915;Nyitott polcos szekrény alacsony
82869;ÁLLÓ RUHAFOGAS (DB) (R81-080244);BE0201;Álló ruhafogas klf.
82823;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
83582;Görgös irattároló mahagóni;BS0603;Görgős irattároló
83791;Lerakó asztal;BA0403;Lerakó asztal
82711;FRANCIAÁGY;BE0108;Francia ágy
82651;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
82647;Favázas támlásszék;BU0601;Favázas támlásszék
83552;VIRÁGÁLLVÁNY (DB);BE0316;Virágtartó
83550;Tárgyalóasztal félköríves;BA0702;Íves tárgyalóasztal
83758;Íróasztal dió;BA0307;Íróasztal klf. egyéb
83547;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB)(R14-05;BA0302;Kisméretű íróasztal
82664;Favázas támlásszék cseresznye;BU0601;Favázas támlásszék
82662;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
1369;Fotelágy szürke;BE0107;Fotelágy
1461;Heverő;BE0109;Heverő
873;Irodai forgószék bordó kárpittal;BU0501;Irodai forgószék
1459;Agria kanapé;BU0202;Kanapé
1000;4 AJTÓS vaslemez szekrény (R81-005053);BS0904; 4. ajtós vaslemez iratszekrény
1585;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
1587;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
1277;Íróasztal bükk;BA0307;Íróasztal klf. egyéb
971;Camping ágy;BE0103;Camping ágy
871;Fémvázas támlászék szürke kárpittal;BU0603;Fémvázas támlásszék
1372;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
1627;Irodai forgószék;BU0501;Irodai forgószék
1605;Irodai forgószék;BU0501;Irodai forgószék
1755;EMELETESÁGY (DB);BE0104;Emeletes ágy
1743;EMELETESÁGY (DB);BE0104;Emeletes ágy
932;Irodai forgószék bordó szövettel;BU0501;Irodai forgószék
1742;EMELETESÁGY (DB);BE0104;Emeletes ágy
1855;2 ajtós öltözőszekrény bükk;BS0801;Öltöző szekrény fa
1209;Vezetői forgószék bőr;BU0701;Vezetői forgószék
1327;2 ajtós felsőszekrény mahagóni;BS0502;2. ajtós felső szekrény
1615;Irodai forgószék;BU0501;Irodai forgószék
881;Irodai forgószék fekete szövettel;BU0501;Irodai forgószék
1617;Irodai forgószék;BU0501;Irodai forgószék
1104;Forgatható karosszék;BU0501;Irodai forgószék
1628;Katonai vaságy;BE0102;Árkay vaságy
1015;Polcos szekrény mahagóni (Tanúvédelmis);BS9920;Szekrény egyéb klf.
987;Fémvázas támlásszék zöld kárpittal;BU0603;Fémvázas támlásszék
1136;2 ajtós öltöző szekrény;BS0801;Öltöző szekrény fa
1764;EMELETESÁGY (DB);BE0104;Emeletes ágy
1339;Írósztal;BA0307;Íróasztal klf. egyéb
925;Fémvázas támlásszék fekete szövettel;BU0603;Fémvázas támlásszék
1515;3 személyes tantermi asztal;BA9914;Tantermi asztal 2-6 személyes
1449;Fotel;BU0101;Fotel klf.
1323;1 ajtós akasztós szekrény mahagóni;BS0103;1 ajtós akasztós szekrény
1320;1 ajtós akasztós szekrény mahagóni;BS0103;1 ajtós akasztós szekrény
1256;Emeletes katonai ágy;BE0104;Emeletes ágy
1222;2 személyes tantermi asztal;BA9914;Tantermi asztal 2-6 személyes
1600;Irodai forgószék;BU0501;Irodai forgószék
978;Asztali lámpa;KI0101;Asztali-,állólámpa, csillár
1001;2 ajtós vaslemez szekrény  (R81-025918);BS0903; 2. ajtós vaslemez iratszekrény
1616;Irodai forgószék;BU0501;Irodai forgószék
872;Irodai forgószék bordó kárpittal;BU0501;Irodai forgószék
942;forgatható karosszék szövet fekete;BU0501;Irodai forgószék
869;Irodai forgószék szürke kárpittal;BU0501;Irodai forgószék
1614;Irodai forgószék;BU0501;Irodai forgószék
1744;EMELETESÁGY (DB);BE0104;Emeletes ágy
919;Íves elem cseresznye;BA0401;Íves elem klf.
1594;Fotel egyéb bordó;BU0101;Fotel klf.
916;Irodai forgószél zöld szövettel;BU0501;Irodai forgószék
884;Fémvázas műanyag támlásszék kék;BU0603;Fémvázas támlásszék
989;TANTERMI ASZTAL 2 SZEMÉLYES (R81-108304);BA9902;2 szem. tantermi asztal
1521;2 szem. tantermi asztal;BA9902;2 szem. tantermi asztal
1215;tantermi íróasztal;BA9914;Tantermi asztal 2-6 személyes
995;ÁLLÓ RUHAFOGAS (R81-012945);BE0201;Álló ruhafogas klf.
974;Camping ágy;BE0103;Camping ágy
979;Asztali lámpa;KI0101;Asztali-,állólámpa, csillár
875;Fémvázas támlásszék szürke szövettel;BU0603;Fémvázas támlásszék
931;Fémvázas támlásszék kék;BU0603;Fémvázas támlásszék
938;Irodai forgószék zöld szövettel;BU0501;Irodai forgószék
939;Irodai forgószék kék szövettel;BU0501;Irodai forgószék
28561;Vezetői bőr görgős szék;BU0701;Vezetői forgószék
28567;Irattároló fémszekrény 4 polcos;BS9906;Fém szekrény klf.
28568;1 AJTÓS AKASZTÓS SZEKRÉNY, bükk;BS0103;1 ajtós akasztós szekrény
28571;1 AJTÓS FELSŐSZEKRÉNY BÜKK (DB);BS0501;1. ajtós felső szekrény
28563;90 fokos ív bükk;BA0401;Íves elem klf.
28564;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
28562;SZÁMÍTÓGÉPASZTAL BÜKK (DB);BA0601;Számítógépasztal
28565;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
28507;Bordó szövet kárpitos görgős szék;BU0501;Irodai forgószék
28535;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0102;1. ajtós szekrény
27507;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
27518;90 fokos ív bükk;BA0401;Íves elem klf.
27610;1 AJTÓS AKASZTÓS SZEKRÉNY, bükk;BS0103;1 ajtós akasztós szekrény
27607;1 AJTÓS FELSŐSZEKRÉNY BÜKK (DB);BS0501;1. ajtós felső szekrény
27599;Bordó szövet kárpitos görgős szék;BU0501;Irodai forgószék
27608;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0102;1. ajtós szekrény
27600;FÉMVÁZAS TÁMLÁSSZÉK KRÓM;BU0603;Fémvázas támlásszék
27604;SZÁMÍTÓGÉPASZTAL BÜKK (DB);BA0601;Számítógépasztal
27602;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
26196;1 ajtós felsőszekrény bükk;BS0501;1. ajtós felső szekrény
26202;1 ajtós iratszekrény bükk;BS0102;1. ajtós szekrény
26194;íróasztal 134 cm bükk;BA0302;Kisméretű íróasztal
26223;tárgyalóasztal;BA0701;Tárgyalóasztal klf.
26226;1 ajtós iratszekrény;BS0102;1. ajtós szekrény
26215;görgős irattszekrény bükk;BS0603;Görgős irattároló
26214;bordó szövet kárpitos szék;BU0501;Irodai forgószék
26219;bükk támlás szék bordó kárpittal;BU0601;Favázas támlásszék
26224;nagyméretű íróasztal;BA0305;Nagyméretű íróasztal
26229;2 ajtós iratszekrény;BS0202;2. ajtós szekrény
26218;bükk támlás szék bordó kárpittal;BU0601;Favázas támlásszék
26228;2 ajtós felső szekrény;BS0502;2. ajtós felső szekrény
26227;2 ajtós felsőszekrény;BS0502;2. ajtós felső szekrény
26225;vitrines szekrény;BS9925;Üveges szekrény
26105;90 fokos ív;BA0401;Íves elem klf.
26108;bordó szövet kárpitos görgős szék;BU0501;Irodai forgószék
26106;számítógépasztal;BA0601;Számítógépasztal
26113;1 ajtós felső szekrény;BS0501;1. ajtós felső szekrény
26103;görgős iratszekrény;BS0603;Görgős irattároló
26104;íróasztal 134 cm;BA0302;Kisméretű íróasztal
25791;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0102;1. ajtós szekrény
25754;SZÁMÍTÓGÉPASZTAL BÜKK (DB);BA0601;Számítógépasztal
25760;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
25749;90 fokos ív bükk;BA0401;Íves elem klf.
25744;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
26924;1. ajtós polcos szekrény;BS0102;1. ajtós szekrény
26939;1. ajtós felső szekrény;BS0501;1. ajtós felső szekrény
26935;1 ajtós akasztós szekrény;BS0103;1 ajtós akasztós szekrény
26949;Kulcstartó szekrény;BS9912;Kulcstartó szekrény
26943;Számítógépasztal;BA0601;Számítógépasztal
26948;Görgős irattároló;BS0603;Görgős irattároló
26942;Irodai forgószék;BU0501;Irodai forgószék
26945;Íróasztal;BA0307;Íróasztal klf. egyéb
26876;Favázas támlásszék;BU0601;Favázas támlásszék
26873;Vezetői forgószék;BU0701;Vezetői forgószék
26869;Íves elem;BA0401;Íves elem klf.
26879;2. ajtós üveges szekrény;BS0201;2. ajtós üveges szekrény
26818;1 ajtós polcos szekrény;BS0102;1. ajtós szekrény
26817;Számítógépasztal;BA0600;Számítógépasztal
28811;Asztali lámpa;KI0100;Asztali-,állólámpa, csillár
29937;Görgős irattároló;BS0603;Görgős irattároló
28090;Görgős irattároló Bükk;BS0603;Görgős irattároló
28100;Bükk támlás szék bordó kárpittal;BU0601;Favázas támlásszék
28057;Irodai forgószék szövet kárpittal;BU0501;Irodai forgószék
27943;90 fokos ív Bükk;BA0401;Íves elem klf.
28060;Számítógépasztal Bükk;BA0600;Számítógépasztal
28676;Bükk támlás szék bordó kárpittal;BU0601;Favázas támlásszék
28654;2 AJTÓS IRATSZEKRÉNY CSERESZNYE felső;BS0202;2. ajtós szekrény
28661;Vezetői íróasztal (DB);BA0305;Nagyméretű íróasztal
28662;TÁRGYALÓASZTAL 6 fős 180x80x75 csereszny;BA0701;Tárgyalóasztal klf.
28650;1 AJTÓS AKASZTÓS SZEKRÉNY cseresznye;BS0103;1 ajtós akasztós szekrény
28685;1 AJTÓS AKASZTÓS SZEKRÉNY, bükk;BS0103;1 ajtós akasztós szekrény
25185;SZÁMÍTÓGÉPASZTAL BÜKK (DB);BA0601;Számítógépasztal
25189;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
25199;1 AJTÓS FELSŐSZEKRÉNY BÜKK (DB);BS0501;1. ajtós felső szekrény
25182;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
25213;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0102;1. ajtós szekrény
25940;1 ajtós felsőszekrény;BS0501;1. ajtós felső szekrény
25922;bordó szövet kárpitos görgős szék;BU0501;Irodai forgószék
